,Stint,Is More Fit,Is Less Fit,Is Neutral
0,1,3,8,37
1,2,2,20,21
2,3,0,10,42
3,4,5,19,37
4,5,1,19,32
5,6,1,12,58
6,7,0,15,15
7,8,2,17,52
8,9,2,7,127
9,10,0,14,46
10,11,0,14,69
11,12,4,30,204
12,13,13,28,117
13,14,0,46,199
14,15,5,36,152
15,16,0,28,32
16,17,0,36,214
17,18,0,33,129
18,19,0,32,52
19,20,1,35,185
20,21,1,37,52
21,22,0,40,268
22,23,3,35,77
23,24,0,40,332
24,25,0,40,289
25,26,4,25,337
26,27,1,49,282
27,28,1,13,164
28,29,0,40,111
29,30,0,46,50
30,31,9,44,211
31,32,0,48,118
32,33,1,42,45
33,34,1,48,531
34,35,11,44,133
35,36,1,51,349
36,37,0,49,222
37,38,3,43,198
38,39,0,54,352
39,40,0,43,238
40,41,0,41,250
41,42,0,42,135
42,43,1,47,333
43,44,2,50,696
44,45,1,46,44
45,46,0,43,254
46,47,0,42,159
47,48,0,52,346
48,49,1,44,42
49,50,1,38,279
50,51,1,42,289
51,52,0,37,497
52,53,0,45,298
53,54,1,42,158
54,55,0,49,665
55,56,0,41,389
56,57,1,41,547
57,58,0,42,298
58,59,0,30,240
59,60,0,32,29
60,61,0,38,79
61,62,29,45,528
62,63,0,31,305
63,64,0,44,210
64,65,0,32,25
65,66,4,34,334
66,67,0,43,435
67,68,0,35,71
68,69,0,39,225
69,70,0,46,129
70,71,0,39,126
71,72,0,36,210
72,73,3,54,254
73,74,14,14,308
74,75,0,4,51
75,76,0,38,329
76,77,0,2,26
77,78,0,40,54
78,79,0,40,313
79,80,0,37,343
80,81,3,36,256
81,82,0,39,244
82,83,0,35,117
83,84,4,39,80
84,85,0,36,59
85,86,0,39,32
86,87,0,34,177
87,88,2,44,242
88,89,0,32,478
89,90,0,37,118
90,91,0,41,239
91,92,0,5,38
92,93,0,36,222
93,94,3,44,663
94,95,5,8,216
95,96,3,27,111
96,97,0,38,230
97,98,0,34,674
98,99,2,34,74
99,100,0,35,620
