,index,Stint,Is More Fit,Is Less Fit,Is Neutral
0,0,1,35,7,2
1,1,2,22,24,22
2,2,3,63,10,4
3,3,4,61,10,14
4,4,5,58,13,2
5,5,6,66,14,7
6,6,7,151,15,30
7,7,8,20,25,23
8,8,9,61,7,6
9,9,10,24,19,20
10,10,11,40,17,3
11,11,12,44,27,32
12,12,13,46,29,33
13,13,14,56,46,12
14,14,15,106,13,3
15,15,16,3,32,37
16,16,17,22,29,22
17,17,18,36,31,37
18,18,19,66,36,18
19,19,20,13,31,53
20,20,21,29,33,43
21,21,22,28,34,52
22,22,23,82,36,26
23,23,24,80,37,15
24,24,25,82,40,31
25,25,26,60,33,46
26,26,27,73,43,63
27,27,28,48,23,100
28,28,29,36,46,85
29,29,30,54,43,36
30,30,31,69,46,15
31,31,32,23,45,110
32,32,33,437,50,269
33,33,34,61,48,90
34,34,35,34,34,90
35,35,36,73,50,16
36,36,37,31,49,70
37,37,38,118,45,6
38,38,39,60,50,70
39,39,40,90,45,53
40,40,41,79,45,45
41,41,42,137,49,22
42,42,43,109,45,31
43,43,44,70,43,72
44,44,45,74,44,55
45,45,46,68,44,59
46,46,47,79,41,54
47,47,48,98,45,34
48,48,49,104,38,37
49,49,50,46,40,73
50,50,51,51,35,52
51,51,52,66,37,63
52,52,53,87,39,50
53,53,54,95,41,59
54,54,55,60,43,44
55,55,56,81,43,18
56,56,57,88,39,46
57,57,58,59,41,64
58,58,59,67,31,26
59,59,60,66,34,21
60,60,61,89,40,38
61,61,62,87,35,13
62,62,63,38,35,92
63,63,64,33,41,65
64,64,65,86,38,8
65,65,66,82,34,29
66,66,67,63,38,44
67,67,68,79,37,16
68,68,69,107,41,15
69,69,70,83,47,15
70,70,71,326,47,54
71,71,72,58,37,44
72,72,73,624,36,38
73,73,74,503,51,245
74,74,75,38,37,28
75,75,76,103,32,13
76,76,77,38,31,35
77,77,78,75,38,27
78,78,79,91,37,33
79,79,80,68,41,38
80,80,81,214,41,14
81,81,82,59,40,57
82,82,83,53,37,44
83,83,84,94,38,40
84,84,85,58,42,62
85,85,86,74,39,41
86,86,87,103,39,43
87,87,88,107,41,15
88,88,89,81,37,26
89,89,90,72,39,51
90,90,91,136,43,28
91,91,92,104,36,574
92,92,93,59,39,136
93,93,94,86,39,46
94,94,95,162,4,3
95,95,96,1361,32,9
96,96,97,93,38,23
97,97,98,75,34,57
98,98,99,60,34,74
99,99,100,117,33,15
